"pridelek";"Regija";"leto";"Kolicina"
"Tritikala";"Goriška";"2017";3,4
"Tritikala";"Goriška";"2018";4,4
"Tritikala";"Goriška";"2019";4,1
"Tritikala";"Obalno-kraška";"2010";3,3
"Tritikala";"Obalno-kraška";"2011";4,7
"Tritikala";"Obalno-kraška";"2012";3,4
"Tritikala";"Obalno-kraška";"2013";3,6
"Tritikala";"Obalno-kraška";"2014";4,1
"Tritikala";"Obalno-kraška";"2015";4
"Tritikala";"Obalno-kraška";"2016";4
"Tritikala";"Obalno-kraška";"2017";3,2
"Tritikala";"Obalno-kraška";"2018";3,8
"Tritikala";"Obalno-kraška";"2019";4,1
"Oves";"Pomurska";"2010";2,8
"Oves";"Pomurska";"2011";3,2
"Oves";"Pomurska";"2012";3,3
"Oves";"Pomurska";"2013";2,4
"Oves";"Pomurska";"2014";3,3
"Oves";"Pomurska";"2015";3,3
"Oves";"Pomurska";"2016";3,1
"Oves";"Pomurska";"2017";3,4
"Oves";"Pomurska";"2018";2,5
"Oves";"Pomurska";"2019";3,7
"Oves";"Podravska";"2010";3
"Oves";"Podravska";"2011";3,4
"Oves";"Podravska";"2012";3,5
"Oves";"Podravska";"2013";3,1
"Oves";"Podravska";"2014";3,6
"Oves";"Podravska";"2015";3,8
"Oves";"Podravska";"2016";3,8
"Oves";"Podravska";"2017";3,4
"Oves";"Podravska";"2018";3,4
"Oves";"Podravska";"2019";3,6
"Oves";"Koroška";"2010";2,2
"Oves";"Koroška";"2011";2,4
"Oves";"Koroška";"2012";2,3
"Oves";"Koroška";"2013";2,3
"Oves";"Koroška";"2014";2,4
"Oves";"Koroška";"2015";2,8
"Oves";"Koroška";"2016";2,8
"Oves";"Koroška";"2017";2,8
"Oves";"Koroška";"2018";2,7
"Oves";"Koroška";"2019";2,9
"Oves";"Savinjska";"2010";3,1
"Oves";"Savinjska";"2011";3,1
"Oves";"Savinjska";"2012";3,1
"Oves";"Savinjska";"2013";2,7
"Oves";"Savinjska";"2014";3,1
"Oves";"Savinjska";"2015";3,3
"Oves";"Savinjska";"2016";3
"Oves";"Savinjska";"2017";3,1
"Oves";"Savinjska";"2018";2,4
"Oves";"Savinjska";"2019";2,9
"Oves";"Zasavska";"2010";2,9
"Oves";"Zasavska";"2011";3,2
"Oves";"Zasavska";"2012";3,2
"Oves";"Zasavska";"2013";2,6
"Oves";"Zasavska";"2014";3,3
"Oves";"Zasavska";"2015";2,6
"Oves";"Zasavska";"2016";2,5
"Oves";"Zasavska";"2017";2,5
"Oves";"Zasavska";"2018";2
"Oves";"Zasavska";"2019";2
"Oves";"Posavska";"2010";3
"Oves";"Posavska";"2011";3,1
"Oves";"Posavska";"2012";3,2
"Oves";"Posavska";"2013";2,9
"Oves";"Posavska";"2014";3,6
"Oves";"Posavska";"2015";3,6
"Oves";"Posavska";"2016";3,4
"Oves";"Posavska";"2017";2,9
"Oves";"Posavska";"2018";2,8
"Oves";"Posavska";"2019";3,1
"Oves";"Jugovzhodna Slovenija";"2010";2,4
"Oves";"Jugovzhodna Slovenija";"2011";2,9
"Oves";"Jugovzhodna Slovenija";"2012";2,7
"Oves";"Jugovzhodna Slovenija";"2013";1,9
"Oves";"Jugovzhodna Slovenija";"2014";2,8
"Oves";"Jugovzhodna Slovenija";"2015";2,8
"Oves";"Jugovzhodna Slovenija";"2016";2,6
"Oves";"Jugovzhodna Slovenija";"2017";2,4
"Oves";"Jugovzhodna Slovenija";"2018";2,3
"Oves";"Jugovzhodna Slovenija";"2019";2,3
"Oves";"Osrednjeslovenska";"2010";3,3
"Oves";"Osrednjeslovenska";"2011";3
"Oves";"Osrednjeslovenska";"2012";3,1
"Oves";"Osrednjeslovenska";"2013";2,9
"Oves";"Osrednjeslovenska";"2014";3,5
"Oves";"Osrednjeslovenska";"2015";3,4
"Oves";"Osrednjeslovenska";"2016";3,5
"Oves";"Osrednjeslovenska";"2017";3,5
"Oves";"Osrednjeslovenska";"2018";3
"Oves";"Osrednjeslovenska";"2019";2,9
"Oves";"Gorenjska";"2010";4,1
"Oves";"Gorenjska";"2011";3,9
"Oves";"Gorenjska";"2012";3,9
"Oves";"Gorenjska";"2013";2,9
"Oves";"Gorenjska";"2014";3,5
"Oves";"Gorenjska";"2015";3,6
"Oves";"Gorenjska";"2016";3,6
"Oves";"Gorenjska";"2017";3
"Oves";"Gorenjska";"2018";3
"Oves";"Gorenjska";"2019";3,2
"Oves";"Primorsko-notranjska";"2010";2,7
"Oves";"Primorsko-notranjska";"2011";3,4
"Oves";"Primorsko-notranjska";"2012";3,2
"Oves";"Primorsko-notranjska";"2013";3,3
"Oves";"Primorsko-notranjska";"2014";3,3
"Oves";"Primorsko-notranjska";"2015";3,3
"Oves";"Primorsko-notranjska";"2016";3,2
"Oves";"Primorsko-notranjska";"2017";3
"Oves";"Primorsko-notranjska";"2018";3,2
"Oves";"Primorsko-notranjska";"2019";3
"Oves";"Goriška";"2010";2,7
"Oves";"Goriška";"2011";2,9
"Oves";"Goriška";"2012";2,7
"Oves";"Goriška";"2013";2,1
"Oves";"Goriška";"2014";2,5
"Oves";"Goriška";"2015";2,8
"Oves";"Goriška";"2016";3,6
"Oves";"Goriška";"2017";2,9
"Oves";"Goriška";"2018";3,2
"Oves";"Goriška";"2019";2,8
